wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbulance,power_in_bucket_after_turbulance,total_power_after_turbulance,precentage_after_turbulance,conservation_of_energy[%],power_after_AO,time
1.55e-06,0.1,1,3,0.8845039380027968,0.8845039380027968,1.0,0.8765080682158005,0.03562696192871661,0.0406464734560151,87.65080682158009,0.8810248140754966,2025-11-29 10:28:18
1.55e-06,0.1,2,3,0.8845039380027968,0.8845039380027968,1.0,0.8764835334551908,0.027321260120659416,0.031171447126857158,87.64835334551913,0.8814322946693888,2025-11-29 11:04:06
1.55e-06,0.1,3,3,0.8845039380027968,0.8845039380027968,1.0,0.8759781307023756,0.033453873923951674,0.03819030721363755,87.5978130702376,0.8808970395432287,2025-11-29 11:33:52
1.55e-06,0.1,4,3,0.8845039380027968,0.8845039380027968,1.0,0.8774473548757827,0.016861160413933783,0.019216150484972126,87.74473548757831,0.8815223597733369,2025-11-29 11:39:40
1.55e-06,0.1,1,2,0.8599551125283651,0.8599551125283651,1.0,0.8446671799957207,0.03740844438880698,0.044287792014123833,84.46671799957211,0.8527023750126108,2025-12-02 22:09:43
1.55e-06,0.1,2,2,0.8599551125283651,0.8599551125283651,1.0,0.7917919905481222,0.01011704698093729,0.01277740505297826,79.17919905481224,0.8498873721931982,2025-12-02 22:13:24
1.55e-06,0.1,1,2,0.8599551125283651,0.8599551125283651,1.0,0.8446428515112369,0.039535802643414886,0.04680771591528578,84.46428515112373,0.8291070087069705,2025-12-02 22:35:39
1.55e-06,0.1,2,2,0.8599551125283651,0.8599551125283651,1.0,0.8300050409943542,0.020417366311868565,0.024599087118083472,83.00050409943546,0.7985369391768513,2025-12-02 22:42:18
1.55e-06,0.1,3,2,0.8599551125283651,0.8599551125283651,1.0,0.8343008841018571,0.03388171934808032,0.04061091147536625,83.43008841018575,0.816103005603282,2025-12-02 22:48:39
1.55e-06,0.1,4,2,0.8599551125283651,0.8599551125283651,1.0,0.8322401533615034,0.031481948757740054,0.03782796183359002,83.22401533615037,0.8090534959728054,2025-12-02 22:55:15
