wavelength,r0_ref,run_number,focal_dim,power0_in_bucket,power0_total,frac0,power1_in_bucket,power1_total,frac1,Energy_conv,sent_signal,noise_var,time
1.55e-06,0.075,1,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,20.131707232445326,5378379.548374023,3.743080429965469e-06,11143218.889568591,True,100000000.0,2025-12-05 07:12:38
1.55e-06,0.075,2,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,46.88241297591017,5418509.528873063,8.652271021411444e-06,11226362.362935046,True,100000000.0,2025-12-05 07:12:48
1.55e-06,0.075,3,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,3.427799450538246,5413088.666802315,6.332428048999902e-07,11215131.126448069,True,100000000.0,2025-12-05 07:12:57
1.55e-06,0.075,4,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,7.714744656531081,5408588.703747484,1.4263877471743627e-06,11205807.858563393,True,100000000.0,2025-12-05 07:13:07
1.55e-06,0.075,5,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.5622023996169838,5414632.654077044,1.0383020151767148e-07,11218330.043149702,True,100000000.0,2025-12-05 07:13:16
1.55e-06,0.075,6,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.1261759448254036,5408822.087333417,2.3327804610339684e-08,11206291.395353593,True,100000000.0,2025-12-05 07:13:26
1.55e-06,0.075,7,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,2.08254182836683,5408786.895332502,3.8502937325261493e-07,11206218.482654547,True,100000000.0,2025-12-05 07:13:36
1.55e-06,0.075,8,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,12.31201762769814,5405767.632890851,2.2775706363675164e-06,11199963.010728521,True,100000000.0,2025-12-05 07:13:45
1.55e-06,0.075,9,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,1.404556574122992,5390887.951575308,2.605427133228686e-07,11169134.4787488,True,100000000.0,2025-12-05 07:13:55
1.55e-06,0.075,10,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,6.266625151539846,5404613.831471229,1.1594954509143834e-06,11197572.502275499,True,100000000.0,2025-12-05 07:14:04
