timestep,E_power_sum,D_power_sum,num_airy,r0_ref
340,233190470.55954993,237854318.00525007,1,0.2
360,236692127.43543684,239369273.7973322,1,0.2
380,240551947.97809827,240570463.11481017,1,0.2
400,239636383.73654735,244349685.70678568,1,0.2
420,235721318.15782264,241403160.39303967,1,0.2
440,235190990.41410345,237044665.9969805,1,0.2
460,240006511.8287444,239746035.63978985,1,0.2
480,240639912.7843656,242109387.126439,1,0.2
500,242881814.46703133,240905008.20838463,1,0.2
520,240278568.91925657,239677933.65558773,1,0.2
540,241786395.56353837,241806532.9678935,1,0.2
560,242614024.49133545,243065869.15360564,1,0.2
580,239348653.96721235,241289363.63149792,1,0.2
600,241273782.4580376,242929489.9574285,1,0.2
620,239951297.782398,243547372.4370938,1,0.2
640,242764395.18066537,242461152.9379199,1,0.2
660,242004786.00766185,241753131.18171936,1,0.2
680,243272567.38499725,243815438.98823595,1,0.2
700,236404551.42088503,236502667.33220577,1,0.2
720,240302806.2074501,241018343.6608037,1,0.2
740,233799984.5044858,235393110.02981737,1,0.2
760,241763004.84898207,241959339.1273759,1,0.2
780,241224860.35200897,243434203.3739257,1,0.2
0,29079822.65701801,29079822.65701801,1,0.01
20,13556966.147927385,10244672.255325995,1,0.01
40,8867200.293149088,19478499.511939812,1,0.01
60,32223832.56244258,19103812.971163183,1,0.01
80,10313277.256574206,26963996.272634223,1,0.01
100,44723367.37647135,21462780.817245685,1,0.01
120,38983643.10857852,14560014.11576845,1,0.01
140,7146377.596825141,17157488.61651939,1,0.01
160,2330169.308919708,25889985.753214553,1,0.01
180,11803294.762985831,61972721.13476533,1,0.01
200,23603068.05327596,51759592.90118327,1,0.01
220,31429615.22780095,46184391.10250874,1,0.01
240,22760248.699350905,33790965.18065742,1,0.01
260,23682608.06364417,44366287.60532085,1,0.01
280,10230715.2139951,24717467.9235361,1,0.01
300,23167148.84115134,39823001.79290852,1,0.01
320,25753030.16642154,40696890.27054138,1,0.01
340,10394323.525231738,18294745.845030725,1,0.01
360,25841644.81843928,30731004.301420227,1,0.01
380,10945411.414728312,17161661.775963176,1,0.01
400,32436542.31917716,32862066.983102396,1,0.01
