wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbula,power_in_bucket_after_turbula,total_power_after_turbula,precentage_after_turbula,conservation_of_energy,power_after_OA,time
1.55e-06,0.11499999999999998,3,1,0.6310662133546497,0.6310662133546497,1.0,0.6258936032678806,0.6258936032678806,1.0,62.58936032678806,0.6258936032678806,2025-11-17 17:09:23
1.55e-06,0.11499999999999998,4,1,0.6310662133546497,0.6310662133546497,1.0,0.6277800197605214,0.6277800197605214,1.0,62.77800197605215,0.6277800197605214,2025-11-17 17:09:29
1.55e-06,0.11499999999999998,5,1,0.6310662133546497,0.6310662133546497,1.0,0.6291459857414612,0.6291459857414612,1.0,62.914598574146126,0.6291459857414612,2025-11-17 17:09:35
1.55e-06,0.15,1,1,0.6310662133546497,0.6310662133546497,1.0,0.6301312361387722,0.6301312361387722,1.0,63.01312361387723,0.6301312361387722,2025-11-17 17:09:41
1.55e-06,0.15,2,1,0.6310662133546497,0.6310662133546497,1.0,0.6292204594125832,0.6292204594125832,1.0,62.922045941258325,0.6292204594125832,2025-11-17 17:09:47
1.55e-06,0.15,3,1,0.6310662133546497,0.6310662133546497,1.0,0.6297650223804405,0.6297650223804405,1.0,62.976502238044056,0.6297650223804405,2025-11-17 17:09:53
1.55e-06,0.15,4,1,0.6310662133546497,0.6310662133546497,1.0,0.6273606193151069,0.6273606193151069,1.0,62.7360619315107,0.6273606193151069,2025-11-17 17:09:59
1.55e-06,0.15,5,1,0.6310662133546497,0.6310662133546497,1.0,0.6295578130099981,0.6295578130099981,1.0,62.955781300999824,0.6295578130099981,2025-11-17 17:10:06
1.55e-06,0.01,1,3,0.8828743709531038,0.8828743709531038,1.0,0.7786505663595955,0.7786505663595955,1.0,77.86505663595956,0.7786505663595955,2025-11-17 17:10:11
1.55e-06,0.01,2,3,0.8828743709531038,0.8828743709531038,1.0,0.8451156133901516,0.8451156133901516,1.0,84.51156133901517,0.8451156133901516,2025-11-17 17:10:18
1.55e-06,0.01,3,3,0.8828743709531038,0.8828743709531038,1.0,0.8284225969082533,0.8284225969082533,1.0,82.84225969082534,0.8284225969082533,2025-11-17 17:10:24
1.55e-06,0.01,4,3,0.8828743709531038,0.8828743709531038,1.0,0.846813763002483,0.846813763002483,1.0,84.68137630024832,0.846813763002483,2025-11-17 17:10:29
1.55e-06,0.01,5,3,0.8828743709531038,0.8828743709531038,1.0,0.8472833034526508,0.8472833034526508,1.0,84.72833034526509,0.8472833034526508,2025-11-17 17:10:35
1.55e-06,0.045,1,3,0.8828743709531038,0.8828743709531038,1.0,0.8781141357795599,0.8781141357795599,1.0,87.811413577956,0.8781141357795599,2025-11-17 17:10:41
1.55e-06,0.045,2,3,0.8828743709531038,0.8828743709531038,1.0,0.8789811018874338,0.8789811018874338,1.0,87.8981101887434,0.8789811018874338,2025-11-17 17:10:47
1.55e-06,0.045,3,3,0.8828743709531038,0.8828743709531038,1.0,0.8792404169285034,0.8792404169285034,1.0,87.92404169285035,0.8792404169285034,2025-11-17 17:10:53
1.55e-06,0.045,4,3,0.8828743709531038,0.8828743709531038,1.0,0.8798004261434776,0.8798004261434776,1.0,87.98004261434778,0.8798004261434776,2025-11-17 17:10:59
1.55e-06,0.045,5,3,0.8828743709531038,0.8828743709531038,1.0,0.8795464784039652,0.8795464784039652,1.0,87.95464784039653,0.8795464784039652,2025-11-17 17:11:05
1.55e-06,0.07999999999999999,1,3,0.8828743709531038,0.8828743709531038,1.0,0.8817796289995035,0.8817796289995035,1.0,88.17796289995036,0.8817796289995035,2025-11-17 17:11:10
1.55e-06,0.07999999999999999,2,3,0.8828743709531038,0.8828743709531038,1.0,0.8820225550478031,0.8820225550478031,1.0,88.20225550478033,0.8820225550478031,2025-11-17 17:11:17
1.55e-06,0.07999999999999999,3,3,0.8828743709531038,0.8828743709531038,1.0,0.8814638768490306,0.8814638768490306,1.0,88.14638768490308,0.8814638768490306,2025-11-17 17:11:23
1.55e-06,0.07999999999999999,4,3,0.8828743709531038,0.8828743709531038,1.0,0.881566637572329,0.881566637572329,1.0,88.15666375723292,0.881566637572329,2025-11-17 17:11:28
1.55e-06,0.07999999999999999,5,3,0.8828743709531038,0.8828743709531038,1.0,0.88139281636819,0.88139281636819,1.0,88.13928163681902,0.88139281636819,2025-11-17 17:11:34
1.55e-06,0.11499999999999998,1,3,0.8828743709531038,0.8828743709531038,1.0,0.882169910471333,0.882169910471333,1.0,88.2169910471333,0.882169910471333,2025-11-17 17:11:40
1.55e-06,0.11499999999999998,2,3,0.8828743709531038,0.8828743709531038,1.0,0.8820994928469998,0.8820994928469998,1.0,88.2099492847,0.8820994928469998,2025-11-17 17:11:46
1.55e-06,0.11499999999999998,3,3,0.8828743709531038,0.8828743709531038,1.0,0.8822841871984475,0.8822841871984475,1.0,88.22841871984477,0.8822841871984475,2025-11-17 17:11:52
1.55e-06,0.11499999999999998,4,3,0.8828743709531038,0.8828743709531038,1.0,0.8822824960609732,0.8822824960609732,1.0,88.22824960609734,0.8822824960609732,2025-11-17 17:11:58
1.55e-06,0.11499999999999998,5,3,0.8828743709531038,0.8828743709531038,1.0,0.8823165540297404,0.8823165540297404,1.0,88.23165540297406,0.8823165540297404,2025-11-17 17:12:04
1.55e-06,0.15,1,3,0.8828743709531038,0.8828743709531038,1.0,0.8825627057031853,0.8825627057031853,1.0,88.25627057031855,0.8825627057031853,2025-11-17 17:12:10
1.55e-06,0.15,2,3,0.8828743709531038,0.8828743709531038,1.0,0.8823028893781353,0.8823028893781353,1.0,88.23028893781354,0.8823028893781353,2025-11-17 17:12:16
1.55e-06,0.15,3,3,0.8828743709531038,0.8828743709531038,1.0,0.8823634970952587,0.8823634970952587,1.0,88.23634970952588,0.8823634970952587,2025-11-17 17:12:22
1.55e-06,0.15,4,3,0.8828743709531038,0.8828743709531038,1.0,0.8824557186913191,0.8824557186913191,1.0,88.24557186913192,0.8824557186913191,2025-11-17 17:12:28
1.55e-06,0.15,5,3,0.8828743709531038,0.8828743709531038,1.0,0.8825239965208274,0.8825239965208274,1.0,88.25239965208274,0.8825239965208274,2025-11-17 17:12:34
1.55e-06,0.01,1,5,0.9245477191840547,0.9245477191840547,1.0,0.9049684823478368,0.9049684823478368,1.0,90.4968482347837,0.9049684823478368,2025-11-17 17:12:40
1.55e-06,0.01,2,5,0.9245477191840547,0.9245477191840547,1.0,0.8966893663037943,0.8966893663037943,1.0,89.66893663037943,0.8966893663037943,2025-11-17 17:12:46
1.55e-06,0.01,3,5,0.9245477191840547,0.9245477191840547,1.0,0.9037249867779942,0.9037249867779942,1.0,90.37249867779943,0.9037249867779942,2025-11-17 17:12:52
1.55e-06,0.01,4,5,0.9245477191840547,0.9245477191840547,1.0,0.9058068813998035,0.9058068813998035,1.0,90.58068813998037,0.9058068813998035,2025-11-17 17:12:57
1.55e-06,0.01,5,5,0.9245477191840547,0.9245477191840547,1.0,0.8989267447414928,0.8989267447414928,1.0,89.8926744741493,0.8989267447414928,2025-11-17 17:13:04
1.55e-06,0.045,1,5,0.9245477191840547,0.9245477191840547,1.0,0.9220463512334982,0.9220463512334982,1.0,92.20463512334983,0.9220463512334982,2025-11-17 17:13:09
1.55e-06,0.045,2,5,0.9245477191840547,0.9245477191840547,1.0,0.9226355624579121,0.9226355624579121,1.0,92.26355624579122,0.9226355624579121,2025-11-17 17:13:15
1.55e-06,0.045,3,5,0.9245477191840547,0.9245477191840547,1.0,0.922782176717662,0.922782176717662,1.0,92.27821767176621,0.922782176717662,2025-11-17 17:13:20
1.55e-06,0.045,4,5,0.9245477191840547,0.9245477191840547,1.0,0.9214383862949753,0.9214383862949753,1.0,92.14383862949755,0.9214383862949753,2025-11-17 17:13:26
1.55e-06,0.045,5,5,0.9245477191840547,0.9245477191840547,1.0,0.9224338953742119,0.9224338953742119,1.0,92.24338953742121,0.9224338953742119,2025-11-17 17:13:32
1.55e-06,0.07999999999999999,1,5,0.9245477191840547,0.9245477191840547,1.0,0.9232244011379552,0.9232244011379552,1.0,92.32244011379554,0.9232244011379552,2025-11-17 17:13:38
1.55e-06,0.07999999999999999,2,5,0.9245477191840547,0.9245477191840547,1.0,0.9242604047311109,0.9242604047311109,1.0,92.4260404731111,0.9242604047311109,2025-11-17 17:13:44
1.55e-06,0.07999999999999999,3,5,0.9245477191840547,0.9245477191840547,1.0,0.9236021517285666,0.9236021517285666,1.0,92.36021517285668,0.9236021517285666,2025-11-17 17:13:49
1.55e-06,0.07999999999999999,4,5,0.9245477191840547,0.9245477191840547,1.0,0.9238077148502981,0.9238077148502981,1.0,92.38077148502983,0.9238077148502981,2025-11-17 17:13:57
1.55e-06,0.07999999999999999,5,5,0.9245477191840547,0.9245477191840547,1.0,0.9231512285322763,0.9231512285322763,1.0,92.31512285322763,0.9231512285322763,2025-11-17 17:14:03
1.55e-06,0.11499999999999998,1,5,0.9245477191840547,0.9245477191840547,1.0,0.9241315207206915,0.9241315207206915,1.0,92.41315207206917,0.9241315207206915,2025-11-17 17:14:09
1.55e-06,0.11499999999999998,2,5,0.9245477191840547,0.9245477191840547,1.0,0.9242813193841903,0.9242813193841903,1.0,92.42813193841904,0.9242813193841903,2025-11-17 17:14:15
1.55e-06,0.11499999999999998,3,5,0.9245477191840547,0.9245477191840547,1.0,0.9244388570298678,0.9244388570298678,1.0,92.4438857029868,0.9244388570298678,2025-11-17 17:14:21
1.55e-06,0.11499999999999998,4,5,0.9245477191840547,0.9245477191840547,1.0,0.924155443733607,0.924155443733607,1.0,92.41554437336072,0.924155443733607,2025-11-17 17:14:27
1.55e-06,0.11499999999999998,5,5,0.9245477191840547,0.9245477191840547,1.0,0.9242396570209803,0.9242396570209803,1.0,92.42396570209804,0.9242396570209803,2025-11-17 17:14:34
1.55e-06,0.15,1,5,0.9245477191840547,0.9245477191840547,1.0,0.924146275080491,0.924146275080491,1.0,92.41462750804911,0.924146275080491,2025-11-17 17:14:40
1.55e-06,0.15,2,5,0.9245477191840547,0.9245477191840547,1.0,0.9244886592746691,0.9244886592746691,1.0,92.44886592746693,0.9244886592746691,2025-11-17 17:14:46
1.55e-06,0.15,3,5,0.9245477191840547,0.9245477191840547,1.0,0.9239660983898812,0.9239660983898812,1.0,92.39660983898814,0.9239660983898812,2025-11-17 17:14:52
1.55e-06,0.15,4,5,0.9245477191840547,0.9245477191840547,1.0,0.9242634204800542,0.9242634204800542,1.0,92.42634204800542,0.9242634204800542,2025-11-17 17:14:58
1.55e-06,0.15,5,5,0.9245477191840547,0.9245477191840547,1.0,0.9245252606197915,0.9245252606197915,1.0,92.45252606197916,0.9245252606197915,2025-11-17 17:15:04
