timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
37,0.0,0.0,-3.690018223525813e-09,9.901981243308638e-09,-9.350573844807093e-08,1.837199822261408e-08,1.8703223880452193e-08,7.16682575980883e-08,4.366742298244345e-09
38,65.0,223.0,-3.756557474027104e-09,1.0024670722040025e-08,-9.507039792167928e-08,1.8703223880452193e-08,1.901747241025081e-08,7.633997249333214e-08,4.306970089959252e-09
39,0.0,0.0,-3.820684991672755e-09,1.019637294492587e-08,-9.666247190046513e-08,1.901747241025081e-08,1.9335790296107152e-08,7.16682575980883e-08,4.366742298244345e-09
40,0.0,0.0,-3.883529958965493e-09,1.0364641123353999e-08,-9.822270439967528e-08,1.9335790296107152e-08,1.964774262927573e-08,7.16682575980883e-08,4.366742298244345e-09
41,0.0,0.0,-3.945118026912375e-09,1.0529543938213565e-08,-9.975173224890121e-08,1.964774262927573e-08,1.9953456652663906e-08,7.16682575980883e-08,4.366742298244345e-09
42,0.0,0.0,-4.005474333500319e-09,1.0691148696775938e-08,-1.0125017954114263e-07,1.9953456652663906e-08,2.0253057071234678e-08,7.16682575980883e-08,4.366742298244345e-09
43,0.0,0.0,-4.064623513956506e-09,1.0849521360167066e-08,-1.0271865788753922e-07,2.0253057071234678e-08,2.0546666101939285e-08,7.16682575980883e-08,4.366742298244345e-09
44,0.0,0.0,-4.1225897108035676e-09,1.100472657029037e-08,-1.0415776666700788e-07,2.0546666101939285e-08,2.0834403522765024e-08,7.16682575980883e-08,4.366742298244345e-09
45,0.0,0.0,-4.17939658371369e-09,1.1156827676211207e-08,-1.0556809327088717e-07,2.0834403522765024e-08,2.1116386720898263e-08,7.16682575980883e-08,4.366742298244345e-09
46,0.0,0.0,-4.235067319165609e-09,1.1305886760013628e-08,-1.0695021334268888e-07,2.1116386720898263e-08,2.1392730740005585e-08,7.16682575980883e-08,4.366742298244345e-09
47,160.0,47.0,-4.2872514600931186e-09,1.1465011258748444e-08,-1.082773019774019e-07,2.1392730740005585e-08,2.1652463154157905e-08,7.27842721716463e-08,4.29900605416788e-09
48,0.0,0.0,-4.3407650980174484e-09,1.160790667090012e-08,-1.096052378750733e-07,2.1652463154157905e-08,2.1918086270700344e-08,7.16682575980883e-08,4.366742298244345e-09
49,93.0,119.0,-4.393208463183292e-09,1.1747944174808763e-08,-1.1090661505479129e-07,2.1918086270700344e-08,2.2178397323369303e-08,7.16682575980883e-08,4.366742298244345e-09
